518	20	41	-337.0	1179.0
519	20	46	-322.3	-70.25
520	21	22	108.31	-84.53
521	21	23	249.15	-157.1
522	21	24	62.42	11.8
523	21	25	153.0	-129.7
524	21	26	32.73	113.0
525	21	27	86.2	1971.0
526	21	28	450.088	-73.092
527	21	29	59.02	-27.94
528	21	30	65.56	-39.46
529	21	32	2.22	179.25
530	21	33	344.4	-262.3
531	21	37	-168.2	383.2
532	21	39	6.57	-55.21
533	21	41	63.67	182.2
534	22	23	0.0	0.0
535	22	24	56.33	17.97
536	22	25	223.1	-8.309
537	22	26	108.9	-9.639
538	22	30	149.56	-116.21
539	22	32	177.6	-40.82
540	22	33	315.9	-174.5
541	22	35	215.0	-215.0
542	22	37	-91.8	301.9
543	22	39	-160.28	397.24
544	22	41	-96.87	305.4
545	22	47	361.1	-194.7
546	23	24	-30.1	51.9
547	23	25	192.1	-0.2266
548	23	28	116.612	-26.058
549	23	30	-64.38	48.484
550	23	32	86.4	21.76
551	23	33	168.8	-46.8
552	23	35	363.7	-343.6
553	23	37	111.2	-149.8
554	23	41	255.8	-193.0
555	23	44	-35.68	-196.2
556	23	48	565.9	-363.1
557	24	25	-75.97	248.4
558	24	26	490.88	-34.68
559	24	27	534.7	514.6
560	24	28	132.2	-60.71
561	24	30	546.68	-133.16
562	24	32	247.8	48.49
563	24	33	146.6	77.55
564	24	35	337.7	-58.43
565	24	36	369.49	-85.148
566	24	37	187.1	-134.2
567	24	38	215.2	-124.6
568	24	39	498.6	-186.7
569	24	41	256.5	335.7
570	24	43	233.1	70.81
571	24	47	423.1	3.163
572	24	48	63.95	-11.3
573	24	50	108.5	-79.34
574	24	55	585.19	75.04
575	25	26	132.7	132.9
576	25	27	2213.0	-123.1
577	25	33	593.4	-185.3
578	25	35	1337.37	-334.12
579	25	39	5143.1401	-374.16
580	25	40	309.58	33.95
581	25	41	-71.18	956.1
582	25	44	-209.7	161.5
583	25	47	434.1	7.082
584	26	27	533.2	-85.12
585	26	28	320.2	277.8
586	26	31	139.822	481.348
587	26	32	304.3	64.28
588	26	33	10.17	125.3
589	26	34	-27.701	174.433
590	26	37	10.76	379.4
591	26	39	-223.1	223.6
592	26	41	248.4	-124.7
593	26	45	-218.9	844.0
594	26	50	-4.565	176.3
595	27	32	2990.0	2448.0
596	27	33	-124.0	4288.0
597	28	32	292.7	-27.45
598	28	37	-47.37	167.9
599	28	41	469.8	885.5
600	29	35	31.66	85.7
601	29	39	78.92	-71.0
602	29	44	1004.2	-274.1
603	29	48	-18.27	6.971
604	30	41	43.37	-64.28
605	31	35	-417.2	535.8
606	31	39	302.2	-191.7
607	31	41	347.8	-264.3
608	31	44	-262.0	262.0
609	31	47	-353.5	515.8
610	32	33	6.37	37.1
611	32	41	68.55	288.1
612	33	35	32.9	-111.2
613	33	37	-48.33	322.42
614	33	39	336.25	-176.26
615	33	41	-195.1	627.7
616	34	37	2073.2	631.5
617	34	39	-119.8	6.699
618	35	39	-97.71	136.6
619	35	41	153.7	-29.34
620	36	37	-208.8	837.2
621	36	39	-8.804	5.15
622	36	41	423.4	-53.91
623	37	39	255.0	-137.7
624	37	41	730.8	-198.0
625	37	44	26.35	-66.31
626	37	48	2429.0	148.9
627	38	39	-110.65	50.06
628	38	40	-117.17	185.6
629	39	40	-5.579	55.8
630	39	41	72.31	-28.65
631	40	45	111.8	-32.17
632	41	47	122.4	101.2
633	42	43	-2166.0	745.3
634	84	85	1517.5	-1869.9
